kabupaten,persentase_kemiskinan_2024,APS 7-12,APS 13-15,APS 16-18,UMR,PDRB,jumlah penduduk 2024,Tingkat Penganguran Terbuka (TPT),Rata - Rata Lama Sekolah,ketimpangan,laju pertumbuhan
kabupaten cilacap,10.68,99.76,97.29,68.9,2383090,51.56,2007829,7.83,6.91,0.364,1.08
kabupaten banyumas,11.95,99.62,99.14,72.64,2118124,25.88,1828573,6.18,7.4,0.397,1.03
kabupaten purbalingga,14.18,99.45,97.99,69.9,2130981,19.68,1027333,4.96,6.87,0.354,1.02
kabupaten banjarnegara,14.71,99.48,93.45,61.1,1958170,17.07,1047226,5.57,6.27,0.376,1.01
kabupaten kebumen,15.71,99.74,98.57,76.32,2035890,16.85,1397555,5.07,7.29,0.333,1.24
kabupaten purworejo,10.87,99.99,97.7,81.55,2043902,19.81,788265,3.89,7.69,0.337,0.86
kabupaten wonosobo,15.28,99.78,92.8,65.07,2076209,17.5,909664,4.02,6.51,0.355,1.22
kabupaten magelang,10.83,99.54,95.43,69.87,2236777,20.53,1330656,3.55,7.41,0.358,0.83
kabupaten boyolali,9.63,99.84,98.91,78.51,2155712,25.05,1090129,3.16,7.44,0.365,0.91
kabupaten klaten,12.04,99.99,99.13,77.56,2152323,25.97,1284386,3.97,8.23,0.406,0.67
kabupaten sukoharjo,7.47,99.67,99.58,81.06,2138248,34.18,932680,3.65,8.71,0.401,0.98
kabupaten wonogiri,10.71,98.93,94.84,78.19,1968448,23.46,1051085,2.4,6.68,0.351,0.28
kabupaten karanganyar,9.59,99.38,97.79,88.39,2207484,33.15,955116,3.47,8.5,0.389,0.81
kabupaten sragen,12.41,99.7,95.09,82.5,1969569,31.93,997485,3.53,7.04,0.336,0.74
kabupaten grobogan,11.43,99.64,94.29,56.22,2029569,15.66,1492891,3.23,6.66,0.324,0.94
kabupaten blora,11.42,99.75,95.48,78.43,2040080,21.78,901621,3.67,6.45,0.349,0.7
kabupaten rembang,14.02,99.2,97.45,75.45,2015927,24.43,660166,2.84,6.94,0.332,0.8
kabupaten pati,9.17,98.9,97,69.66,2107697,26.83,1359364,3.87,7.08,0.312,0.9
kabupaten kudus,7.23,99.83,95.42,66.27,2439814,84.92,874632,3.19,8.31,0.35,1.03
kabupaten jepara,6.09,99.45,99.01,68.21,2272627,20.67,1221086,3.34,7.33,0.326,1.03
kabupaten demak,11.89,99.67,99.2,73.12,2680421,17.47,1240510,4.75,7.47,0.309,1.05
kabupaten semarang,6.96,99.49,98.12,72.93,2480988,38.11,1080648,3.73,7.87,0.388,0.89
kabupaten temanggung,8.67,99.34,97.74,74.73,2027569,21.91,808446,2.35,6.9,0.359,0.81
kabupaten kendal,9.35,99.72,97.83,72.66,2508300,34.94,1052826,5.01,6.85,0.402,1.17
kabupaten batang,8.73,98.92,96.24,63.6,2282026,22.3,828883,5.67,6.61,0.333,1.17
kabupaten pekalongan,8.95,99.99,92.57,65.62,2247346,18.92,1007384,3.3,6.73,0.325,1.3
kabupaten pemalang,14.92,99.07,93.04,64.78,2081783,14.13,1523622,6.63,6.31,0.334,1.23
kabupaten tegal,6.81,99.54,96.58,69.11,2106238,17.58,1654836,7.53,6.55,0.358,1.25
kabupaten brebes,15.6,99.41,99.9,62.72,2018837,18.66,2043077,8.35,6.18,0.327,1.13
kota magelang,5.94,99.96,99.55,85.63,2066007,62.64,122150,4.4,10.3,0.419,0.2
kota surakarta,8.31,99.98,99.44,76.16,2174169,81.24,526870,4.61,10.38,0.383,0.27
kota salatiga,4.57,99.97,97.21,83.59,2284180,57.16,198920,3.86,10.15,0.417,1.2
kota semarang,4.03,99.75,98.63,69.53,3060349,100.04,1694743,5.82,10.5,0.405,0.86
kota pekalongan,6.71,99.98,96.73,69.35,2305823,27.81,317524,4.91,8.56,0.321,1.17
kota tegal,7.64,99.98,96.8,74.58,2145012,45.9,282781,5.88,8.29,0.378,1.13
